speaker,text,date,year,debate_id
Pence,"And I get all of that. I just, look…",2016-10-04,2016,2016_October_4_2016
Pence,There’s a question that you asked a little bit earlier that I want to go back to.,2016-10-04,2016,2016_October_4_2016
Kaine,I can’t believe that you won’t defend your own voting record.,2016-10-04,2016,2016_October_4_2016
Pence,I have to go back to.,2016-10-04,2016,2016_October_4_2016
Pence,"Well, look, I — you’re running with Hillary Clinton, who wants to raise taxes by $1 trillion, increase spending by $2 trillion, and you say you’re going to keep the promises of Social Security. Donald Trump and I are going to cut taxes. We’re going to — we’re going to — we’re going to…",2016-10-04,2016,2016_October_4_2016
Kaine,You’re not going to cut taxes. You’re going to raise taxes on the middle class.,2016-10-04,2016,2016_October_4_2016
Pence,… reform government programs so we can meet the obligations of Social Security and Medicare.,2016-10-04,2016,2016_October_4_2016
Quijano,"All right. PENCE: Stay on the path that your party has us on, we’re going to be in a — in a mountain range of debt. And we’re going to face hard choices and…[crosstalk]",2016-10-04,2016,2016_October_4_2016
Kaine,"You did ask this question about debt, and the debt explosion on the Trump plan is much, much bigger than anything on the Clinton side.",2016-10-04,2016,2016_October_4_2016
Quijano,All right. Let me move on now…,2016-10-04,2016,2016_October_4_2016
Pence,Three hundred and five economists said your plan is bad for the economy.,2016-10-04,2016,2016_October_4_2016
Quijano,"… to the issue of law enforcement and race relations. Law enforcement and race relations. After the Dallas police shooting, Police Chief David Brown said, quote, “We’re asking cops to do too much in this country. Every societal failure we put it off on the cops to solve. Not enough mental health funding, not enough drug addiction funding, schools fail, let’s give it to the cops.”",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, I think that’s a very fair comment. I think we put a lot on police shoulders. And this is something I got a lot of scar tissue and experience on.",2016-10-04,2016,2016_October_4_2016
Quijano,Governor Pence?,2016-10-04,2016,2016_October_4_2016
Pence,"You know, my uncle was a cop, a career cop, on the beat in downtown Chicago. He was my hero when I was growing up. And we’d go up to visit my dad’s family in Chicago. My three brothers and I would marvel at my uncle when he would come out in his uniform, sidearm at his side.",2016-10-04,2016,2016_October_4_2016
Kaine,Can I — can I explain…,2016-10-04,2016,2016_October_4_2016
Pence,"… I just think what we ought to do is we ought to stop seizing on these moments of tragedy. We ought to assure the public that we’ll have a full and complete and transparent investigation whenever there’s a loss of life because of police action. But, Senator, please, you know, enough of this seeking every opportunity to demean law enforcement broadly by making the accusation of implicit bias every time tragedy occurs.",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine — Elaine, people shouldn’t be afraid to bring up issues of bias in law enforcement. And if you’re afraid to have…",2016-10-04,2016,2016_October_4_2016
Pence,I’m not afraid to bring that up.,2016-10-04,2016,2016_October_4_2016
Kaine,"And if — if you’re afraid to have the discussion, you’ll never solve it. And so here’s — here’s an example, heartbreaking. We would agree this is a heartbreaking example.",2016-10-04,2016,2016_October_4_2016
Pence,We need criminal justice reform.,2016-10-04,2016,2016_October_4_2016
Kaine,"Well, we do.",2016-10-04,2016,2016_October_4_2016
Pence,Indiana has passed criminal justice reform.,2016-10-04,2016,2016_October_4_2016
Kaine,"But I just want to say, those who say that we should not…",2016-10-04,2016,2016_October_4_2016
Pence,But that’s not what you’re talking about.,2016-10-04,2016,2016_October_4_2016
Kaine,"… we should not be able to bring up and talk about bias in the system, we’ll never solve the problem…",2016-10-04,2016,2016_October_4_2016
Quijano,Governor Pence…[crosstalk]…Governor Pence…,2016-10-04,2016,2016_October_4_2016
Pence,"Senator, when African-American police officers involved in a police action shooting involving an African-American, why would Hillary Clinton accuse that African-American police officer of implicit bias?",2016-10-04,2016,2016_October_4_2016
Kaine,"Well, I guess I can’t believe you are defending the position that there is no bias and it’s a topic we don’t even…[crosstalk]",2016-10-04,2016,2016_October_4_2016
Quijano,"Governor Pence, I have a question on that point.",2016-10-04,2016,2016_October_4_2016
Pence,I did not make that statement. I…,2016-10-04,2016,2016_October_4_2016
Quijano,"Your fellow Republican, Governor Pence, Senator Tim Scott, who is African-American, recently spoke on the Senate floor. He said he was stopped seven times by law enforcement in one year.",2016-10-04,2016,2016_October_4_2016
Kaine,A U.S. senator.,2016-10-04,2016,2016_October_4_2016
Quijano,"He said, “I have felt the anger, the frustration, the sadness, and the humiliation that comes with feeling like you’re being targeted for nothing more than being just yourself.” What would you say to Senator Scott about his experiences?",2016-10-04,2016,2016_October_4_2016
Pence,"Well, I have the deepest respect for Senator Scott, and he’s a close friend. And what I would say is that we — we need to adopt criminal justice reform nationally. I — I signed criminal justice reform in the state of Indiana, Senator, and we’re very proud of it.",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, can I…",2016-10-04,2016,2016_October_4_2016
Quijano,"So what would you say to Senator Scott, Governor?",2016-10-04,2016,2016_October_4_2016
Pence,"Law enforcement in this country is a force for good. They are the — they truly are people that put their lives on the line every single day. But I would — I would suggest to you, what we need to do is assert a stronger leadership at the national level to support law enforcement. You just heard Senator Kaine reject stop-and-frisk. Well, I would suggest to you that the families that live in our inner cities that are besieged by crime…",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, let me — let me…",2016-10-04,2016,2016_October_4_2016
Quijano,"Governor, the question is about Senator Scott. What would — what would you tell Senator Scott?",2016-10-04,2016,2016_October_4_2016
Kaine,"Elaine, if I could — if I could jump in. I’ve heard Senator Scott make that eloquent plea. And look, criminal justice is about respecting the law and being respected by the law. So there is a fundamental respect issue here.",2016-10-04,2016,2016_October_4_2016
Quijano,"All right. I want to turn to our next segment now, immigration. Your running mates have both said that undocumented immigrants who have committed violent crimes should be deported. What would you tell the millions of undocumented immigrants who have not committed violent crimes? Governor Pence?",2016-10-04,2016,2016_October_4_2016
Pence,"Donald Trump’s laid out a plan to end illegal immigration once and for all in this country. We’ve been talking it to death for 20 years. Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving — that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it’s bringing heartbreak.",2016-10-04,2016,2016_October_4_2016
Pence,"It’s my time, Senator.",2016-10-04,2016,2016_October_4_2016
Quijano,"It is, in fact, the governor’s time.",2016-10-04,2016,2016_October_4_2016
Kaine,I apologize. It’s your two minutes. I apologize.,2016-10-04,2016,2016_October_4_2016
Pence,Thanks. I forgive you. He says ours is an insult-driven campaign. Did you all just hear that? Ours is an insult-driven campaign?,2016-10-04,2016,2016_October_4_2016
Pence,That’s small potatoes compared to Hillary Clinton…,2016-10-04,2016,2016_October_4_2016
Quijano,Senator Kaine?,2016-10-04,2016,2016_October_4_2016
Pence,…. calling half of Donald Trump’s supporters a basket of deplorables.,2016-10-04,2016,2016_October_4_2016
Kaine,"Hillary Clinton said something on the campaign trail, and the very next day, she said, you know what, I shouldn’t have said that.",2016-10-04,2016,2016_October_4_2016
Pence,She said she shouldn’t have said half.,2016-10-04,2016,2016_October_4_2016
Quijano,"Governor, this is Senator Kaine’s two minutes, please.",2016-10-04,2016,2016_October_4_2016
Kaine,"Yeah, that’s right, so now we’re even.",2016-10-04,2016,2016_October_4_2016
Pence,Yeah. [laughter],2016-10-04,2016,2016_October_4_2016
Kaine,Look for Donald Trump apologizing to John McCain for saying he wasn’t a hero…,2016-10-04,2016,2016_October_4_2016
Kaine,"… to Donald Trump apologizing for calling women slobs, pigs, dogs, disgusting.",2016-10-04,2016,2016_October_4_2016
Pence,She apologized for saying “half.”,2016-10-04,2016,2016_October_4_2016
Quijano,"Governor. It is his two minutes, please.",2016-10-04,2016,2016_October_4_2016
Kaine,Did Donald Trump apologize for taking after somebody in a Twitter war and making fun of her weight? Did he apologize for saying African-Americans are living in Hell? Did he apologize for saying President Obama was not even a citizen of the United States? You will look in vain to see Donald Trump ever taking responsibility for anybody and apologizing.,2016-10-04,2016,2016_October_4_2016
Pence,That’s nonsense. That’s nonsense.,2016-10-04,2016,2016_October_4_2016
Kaine,I cannot believe that Governor Pence would sit here and defend his running mate’s claim that we should create a deportation force to — so that they’ll all be gone.,2016-10-04,2016,2016_October_4_2016
Pence,"Senator, we have a deportation force. It’s called Immigrations and Customs Enforcement. And the union for Immigrations and Customs Enforcement for the first time in their history endorsed Donald Trump to be the next president of the United States of America.",2016-10-04,2016,2016_October_4_2016
Kaine,So you like the 16 million deportations?,2016-10-04,2016,2016_October_4_2016
Pence,"Senator, that’s — that’s nonsense. Look, what you just heard is they have a plan for open borders, amnesty. That’s…[crosstalk]",2016-10-04,2016,2016_October_4_2016
Kaine,Our plan is like Ronald Reagan’s plan from 1986.,2016-10-04,2016,2016_October_4_2016
